Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_120619C27,187:27.01:44941622:1.3:17,194:27.14:41300937:1.32:192,348:26.7:32448063:1.05:333,476:26.71:33124982:0.9:206,437:25.99:27991933:0.65:122,545:26.79:41353173:0.89:192,560:26.75:37309667:0.95:164,620:28.03:52741127:1.65:226,628:29.46:55638958:2.65:126,[615:29.56:44372725:2.85:131
UBER_120619C27.5,270:27.01:44941622:1.2:129,355:27.14:41300937:1.05:21,363:26.7:32448063:0.88:50,385:26.71:33124982:0.75:24,391:25.99:27991933:0.49:10,391:26.79:41353173:0.65:43,394:26.75:37309667:0.75:48,407:28.03:52741127:1.35:81,383:29.46:55638958:2.3:308,[365:29.56:44372725:2.5:22
UBER_120619C28,277:27.01:44941622:1.0:32,295:27.14:41300937:0.9:53,310:26.7:32448063:0.65:289,552:26.71:33124982:0.55:70,562:25.99:27991933:0.35:25,568:26.79:41353173:0.48:78,592:26.75:37309667:0.5:358,654:28.03:52741127:1.05:518,906:29.46:55638958:1.85:232,[836:29.56:44372725:1.99:271
UBER_120619C28.5,93:27.01:44941622:0.76:15,98:27.14:41300937:0.7:7,100:26.7:32448063:0.6:11,105:26.71:33124982:0.4:10,106:25.99:27991933:0.32:3,105:26.79:41353173:0.37:18,117:26.75:37309667:0.39:17,134:28.03:52741127:0.8:159,189:29.46:55638958:1.55:376,[275:29.56:44372725:1.6:166
UBER_120619C29,224:27.01:44941622:0.57:25,246:27.14:41300937:0.56:13,248:26.7:32448063:0.43:6,250:26.71:33124982:0.3:124,350:25.99:27991933:0.2:11,361:26.79:41353173:0.28:81,384:26.75:37309667:0.3:49,487:28.03:52741127:0.6:261,499:29.46:55638958:1.25:311,[515:29.56:44372725:1.3:157
UBER_120619C29.5,60:27.01:44941622:0.54:51,95:27.14:41300937:0.4:32,123:26.7:32448063:0.35:116,230:26.71:33124982:0.35:0,230:25.99:27991933:0.15:3,229:26.79:41353173:0.2:27,255:26.75:37309667:0.15:60,308:28.03:52741127:0.45:257,290:29.46:55638958:0.95:272,[304:29.56:44372725:1.1:260
UBER_120619C30,642:27.01:44941622:0.4:120,646:27.14:41300937:0.3:161,761:26.7:32448063:0.26:12,772:26.71:33124982:0.18:317,1063:25.99:27991933:0.15:6,1060:26.79:41353173:0.13:50,1110:26.75:37309667:0.13:214,1514:28.03:52741127:0.3:993,1250:29.46:55638958:0.79:933,[1134:29.56:44372725:0.8:739
UBER_120619C30.5,139:27.01:44941622:0.25:53,192:27.14:41300937:0.25:44,236:26.7:32448063:0.25:7,242:26.71:33124982:0.1:145,237:25.99:27991933:0.08:52,209:26.79:41353173:0.1:30,239:26.75:37309667:0.1:0,246:28.03:52741127:0.2:61,287:29.46:55638958:0.6:116,[330:29.56:44372725:0.7:626
UBER_120619C31,148:27.01:44941622:0.27:3,148:27.14:41300937:0.17:55,200:26.7:32448063:0.14:27,227:26.71:33124982:0.1:35,260:25.99:27991933:0.1:0,260:26.79:41353173:0.09:55,310:26.75:37309667:0.06:5,310:28.03:52741127:0.15:174,276:29.46:55638958:0.43:1188,[547:29.56:44372725:0.5:1618
UBER_120619C31.5,59:27.01:44941622:0.25:5,63:27.14:41300937:0.25:0,63:26.7:32448063:0.25:0,63:26.71:33124982:0.07:1,63:25.99:27991933:0.05:2,61:26.79:41353173:0.05:0,61:26.75:37309667:0.07:15,60:28.03:52741127:0.13:33,93:29.46:55638958:0.32:60,[143:29.56:44372725:0.35:77
UBER_120619C32,44:27.01:44941622:0.2:1,45:27.14:41300937:0.09:15,40:26.7:32448063:0.09:0,40:26.71:33124982:0.09:0,40:25.99:27991933:0.05:1,39:26.79:41353173:0.05:0,39:26.75:37309667:0.05:0,39:28.03:52741127:0.09:41,77:29.46:55638958:0.23:97,[79:29.56:44372725:0.25:122
UBER_121319C20,2:27.01:44941622:7.4:1,2:27.14:41300937:6.5:1,2:26.7:32448063:6.5:0,2:26.71:33124982:6.5:0,2:25.99:27991933:6.5:0,2:26.79:41353173:6.5:0,2:26.75:37309667:6.5:0,U:28.03:52741127:U:U,2:29.46:55638958:6.5:0,2:29.56:44372725:6.5:0
UBER_121319C21,2:27.01:44941622:6.3:0,2:27.14:41300937:6.3:0,2:26.7:32448063:6.3:0,2:26.71:33124982:6.3:0,2:25.99:27991933:6.3:0,2:26.79:41353173:6.3:0,2:26.75:37309667:6.3:0,U:28.03:52741127:U:U,2:29.46:55638958:6.3:0,2:29.56:44372725:6.3:0
UBER_121319C22,0:27.01:44941622:0.0:0,0:27.14:41300937:0.0:0,0:26.7:32448063:0.0:0,0:26.71:33124982:0.0:0,0:25.99:27991933:0.0:0,0:26.79:41353173:0.0:0,0:26.75:37309667:0.0:0,0:28.03:52741127:0.0:0,0:29.46:55638958:0.0:0,0:29.56:44372725:0.0:0
UBER_121319C23,30:27.01:44941622:4.61:12,35:27.14:41300937:4.61:0,35:26.7:32448063:4.61:0,35:26.71:33124982:4.61:0,35:25.99:27991933:4.61:0,35:26.79:41353173:4.61:0,35:26.75:37309667:4.61:0,35:28.03:52741127:4.61:0,35:29.46:55638958:4.61:0,35:29.56:44372725:6.5:30
UBER_121319C24,15:27.01:44941622:3.8:0,15:27.14:41300937:3.8:0,15:26.7:32448063:3.8:0,15:26.71:33124982:3.8:0,15:25.99:27991933:3.8:0,15:26.79:41353173:2.51:1,15:26.75:37309667:2.85:1,16:28.03:52741127:4.2:1,16:29.46:55638958:5.0:1,15:29.56:44372725:5.0:0
UBER_121319C25,15:27.01:44941622:2.9:0,15:27.14:41300937:2.3:40,55:26.7:32448063:2.7:42,17:26.71:33124982:2.7:0,17:25.99:27991933:2.7:0,17:26.79:41353173:2.32:2,18:26.75:37309667:2.32:0,18:28.03:52741127:2.97:193,207:29.46:55638958:4.61:197,[62:29.56:44372725:4.9:2
UBER_121319C25.5,0:27.01:44941622:0.0:0,0:27.14:41300937:1.95:1,1:26.7:32448063:1.95:0,1:26.71:33124982:1.7:7,8:25.99:27991933:1.48:40,23:26.79:41353173:1.9:6,24:26.75:37309667:1.9:0,24:28.03:52741127:2.45:1,24:29.46:55638958:2.45:0,[24:29.56:44372725:4.1:1
UBER_121319C26,38:27.01:44941622:2.15:1,38:27.14:41300937:1.6:203,226:26.7:32448063:1.85:102,326:26.71:33124982:1.45:6,332:25.99:27991933:1.2:312,471:26.79:41353173:1.62:154,432:26.75:37309667:1.5:71,506:28.03:52741127:2.57:126,396:29.46:55638958:3.7:107,[362:29.56:44372725:4.05:20
UBER_121319C26.5,17:27.01:44941622:1.95:0,17:27.14:41300937:1.34:8,21:26.7:32448063:1.5:9,25:26.71:33124982:1.18:1,25:25.99:27991933:1.0:8,30:26.79:41353173:1.33:7,34:26.75:37309667:1.35:21,82:28.03:52741127:2.1:14,85:29.46:55638958:3.2:60,[81:29.56:44372725:3.44:13
