Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_120619P36,1:38.45,1:38.93,1:39.12,1:39.18:1975398:0.71:0,1:39.26:834553:0.25:1,1:39.59:870370:0.25:0,1:39.1:1020665:0.25:0,1:39.34:929455:0.25:0,1:38.69:1013846:0.25:0,1:39.02:1174741:0.25:0,1:75.43:212417:0.25:0,1:38.73:1214584:0.25:0,U:38.94:770105:U:U,1:38.76:1014804:0.25:0,[1:38.64:777620:0.25:0
JBL_120619P36.5,10:38.45,10:38.93,10:39.12,10:39.18:1975398:0.5:0,10:39.26:834553:0.5:0,10:39.59:870370:0.5:0,10:39.1:1020665:0.5:0,10:39.34:929455:0.5:0,10:38.69:1013846:0.5:0,10:39.02:1174741:0.5:0,10:75.43:212417:0.15:5,15:38.73:1214584:0.15:0,15:38.94:770105:0.15:0,15:38.76:1014804:0.15:0,[15:38.64:777620:0.15:0
JBL_120619P37,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619P37.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.52:1,1:39.59:870370:0.52:0,1:39.1:1020665:0.52:0,1:39.34:929455:0.52:0,1:38.69:1013846:0.52:0,1:39.02:1174741:0.52:0,1:75.43:212417:0.52:0,1:38.73:1214584:0.52:0,1:38.94:770105:0.52:0,1:38.76:1014804:0.52:0,[1:38.64:777620:0.35:27
JBL_120619P38,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.5:21
JBL_120619P38.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.7:2,2:39.1:1020665:0.7:0,2:39.34:929455:0.7:0,2:38.69:1013846:0.7:0,2:39.02:1174741:0.7:0,2:75.43:212417:0.7:1,1:38.73:1214584:0.7:0,1:38.94:770105:0.7:0,1:38.76:1014804:0.7:0,[1:38.64:777620:0.7:20
JBL_120619P39,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.8:2,2:38.76:1014804:0.89:2,[4:38.64:777620:0.89:0
JBL_120619P39.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:1.06:9,9:39.1:1020665:1.06:0,9:39.34:929455:1.03:2,11:38.69:1013846:1.03:0,11:39.02:1174741:1.03:0,11:75.43:212417:1.3:11,21:38.73:1214584:1.35:2,19:38.94:770105:1.35:0,19:38.76:1014804:1.35:0,[19:38.64:777620:1.35:0
JBL_120619P40,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:1.66:10,10:38.73:1214584:1.66:0,10:38.94:770105:1.66:0,10:38.76:1014804:1.66:0,[10:38.64:777620:1.66:0
JBL_120619P40.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
