Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_121319P146,2:161.11:3265029:2.25:0,2:161.78:3536960:2.25:0,2:162.86:3697018:0.93:8,10:162.6:5383958:1.0:6,16:163.05:3705452:0.9:8,24:163.21:3653186:0.9:0,24:162.77:5557347:0.9:0,24:163.96:4950808:0.9:0,24:300.72:1153529:0.46:1
CRM_121319P147,14:161.11:3265029:2.12:0,14:161.78:3536960:2.12:0,14:162.86:3697018:1.05:6,20:162.6:5383958:0.92:4,24:163.05:3705452:0.92:0,24:163.21:3653186:0.92:0,24:162.77:5557347:0.92:0,24:163.96:4950808:0.92:0,U:300.72:1153529:U:U
CRM_121319P148,0:161.11:3265029:1.65:5,5:161.78:3536960:1.65:0,5:162.86:3697018:1.2:9,5:162.6:5383958:1.25:1,5:163.05:3705452:1.05:2,7:163.21:3653186:1.05:0,7:162.77:5557347:1.05:0,7:163.96:4950808:1.05:0,7:300.72:1153529:1.05:0
CRM_121319P149,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:1.03:1,1:162.77:5557347:1.1:7,7:163.96:4950808:1.1:0,U:300.72:1153529:U:U
CRM_121319P150,30:161.11:3265029:2.05:18,43:161.78:3536960:2.05:0,43:162.86:3697018:1.52:14,49:162.6:5383958:1.4:9,53:163.05:3705452:1.53:8,61:163.21:3653186:1.15:8,62:162.77:5557347:1.31:6,61:163.96:4950808:1.4:3,58:300.72:1153529:1.22:8
CRM_121319P152.5,139:161.11:3265029:2.72:0,139:161.78:3536960:2.72:0,139:162.86:3697018:1.9:8,147:162.6:5383958:2.05:22,148:163.05:3705452:1.98:5,149:163.21:3653186:1.54:26,129:162.77:5557347:1.68:1,129:163.96:4950808:1.66:2,U:300.72:1153529:U:U
CRM_121319P155,15:161.11:3265029:3.45:0,15:161.78:3536960:2.89:14,17:162.86:3697018:2.51:61,71:162.6:5383958:2.53:7,75:163.05:3705452:2.48:3,78:163.21:3653186:2.12:5,79:162.77:5557347:2.32:87,99:163.96:4950808:2.38:5,99:300.72:1153529:1.98:50
CRM_121319P157.5,314:161.11:3265029:4.45:24,318:161.78:3536960:3.85:16,317:162.86:3697018:3.3:58,369:162.6:5383958:3.24:15,382:163.05:3705452:3.05:11,392:163.21:3653186:3.03:3,395:162.77:5557347:3.04:2,397:163.96:4950808:2.91:13,393:300.72:1153529:2.35:14
CRM_121319P160,19:161.11:3265029:5.15:14,28:161.78:3536960:4.85:18,36:162.86:3697018:4.05:64,100:162.6:5383958:4.15:36,135:163.05:3705452:3.96:10,140:163.21:3653186:3.96:0,140:162.77:5557347:3.92:2,142:163.96:4950808:3.82:11,133:300.72:1153529:3.93:4
CRM_121319P162.5,4:161.11:3265029:6.7:0,4:161.78:3536960:6.25:2,6:162.86:3697018:5.25:17,22:162.6:5383958:5.42:38,53:163.05:3705452:4.79:1,53:163.21:3653186:4.81:12,64:162.77:5557347:5.15:5,68:163.96:4950808:5.35:10,78:300.72:1153529:4.15:29
CRM_121319P165,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:6.69:2,0:163.05:3705452:6.69:0,0:163.21:3653186:6.69:0,0:162.77:5557347:6.69:0,0:163.96:4950808:6.69:0,0:300.72:1153529:6.25:4
CRM_121319P167.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:7.42:1,1:163.21:3653186:7.42:0,1:162.77:5557347:7.5:3,4:163.96:4950808:7.5:0,4:300.72:1153529:7.5:0
CRM_121319P170,2:161.11:3265029:12.9:0,2:161.78:3536960:12.9:0,2:162.86:3697018:12.9:0,2:162.6:5383958:12.9:0,2:163.05:3705452:12.9:0,2:163.21:3653186:12.9:0,2:162.77:5557347:8.66:3,5:163.96:4950808:8.66:0,5:300.72:1153529:8.66:0
CRM_121319P172.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:11.05:3,3:163.21:3653186:11.45:4,1:162.77:5557347:10.95:4,5:163.96:4950808:11.85:7,12:300.72:1153529:11.85:0
CRM_121319P175,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:12.65:4,2:163.05:3705452:12.65:0,2:163.21:3653186:12.65:0,2:162.77:5557347:12.65:0,2:163.96:4950808:12.65:0,2:300.72:1153529:12.65:0
CRM_121319P177.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
CRM_121319P180,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
