Symbol,20191030,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PFE_122019P40,2038:38.48,2014:36.93:11900287:3.15:300,2177:36.97:12644366:2.97:39,1862:36.6:24554579:3.55:70,1660:36.55:23893614:3.45:38,1657:37.28:34345742:2.7:4,1657:134.06:3619873:2.9:4,1657:37.08:13118292:2.43:0,1657:37.74:19869602:2.13:3,[1657:38.33:24233217:1.82:33
PFE_122019P41,879:38.48,823:36.93:11900287:4.05:5,774:36.97:12644366:4.05:0,774:36.6:24554579:4.52:400,763:36.55:23893614:4.52:0,763:37.28:34345742:3.6:45,763:134.06:3619873:3.6:0,762:37.08:13118292:3.6:0,762:37.74:19869602:3.1:2,[762:38.33:24233217:3.1:0
PFE_122019P42,666:38.48,295:36.93:11900287:5.22:4,127:36.97:12644366:5.22:0,127:36.6:24554579:5.6:200,127:36.55:23893614:5.55:4,127:37.28:34345742:5.35:1,127:134.06:3619873:5.35:0,125:37.08:13118292:5.35:0,125:37.74:19869602:5.35:0,[125:38.33:24233217:5.35:0
PFE_122019P43,1440:38.48,1093:36.93:11900287:4.86:0,1093:36.97:12644366:4.86:0,1093:36.6:24554579:6.6:2100,1093:36.55:23893614:6.5:1100,593:37.28:34345742:6.5:0,593:134.06:3619873:6.5:0,U:37.08:13118292:U:U,593:37.74:19869602:5.85:0,[593:38.33:24233217:5.85:0
PFE_122019P44,334:38.48,76:36.93:11900287:6.95:0,76:36.97:12644366:6.95:0,76:36.6:24554579:7.6:100,76:36.55:23893614:7.6:0,76:37.28:34345742:7.6:0,76:134.06:3619873:7.6:0,U:37.08:13118292:.0:7,76:37.74:19869602:6.9:0,76:38.33:24233217:6.9:0
PFE_122019P45,135:38.48,3:36.93:11900287:7.5:0,0:36.97:12644366:7.5:0,0:36.6:24554579:7.5:0,0:36.55:23893614:7.5:0,0:37.28:34345742:7.5:0,0:134.06:3619873:7.5:0,0:37.08:13118292:7.5:0,0:37.74:19869602:7.5:0,0:38.33:24233217:7.5:0
PFE_122019P46,134:38.48,0:36.93:11900287:4.8:0,0:36.97:12644366:4.8:0,0:36.6:24554579:4.8:0,0:36.55:23893614:4.8:0,0:37.28:34345742:4.8:0,0:134.06:3619873:4.8:0,U:37.08:13118292:U:U,0:37.74:19869602:4.8:0,0:38.33:24233217:4.8:0
PFE_122019P47,57:38.48,0:36.93:11900287:4.05:0,0:36.97:12644366:4.05:0,0:36.6:24554579:4.05:0,0:36.55:23893614:4.05:0,0:37.28:34345742:4.05:0,0:134.06:3619873:4.05:0,0:37.08:13118292:4.05:0,0:37.74:19869602:4.05:0,0:38.33:24233217:4.05:0
PFE_122019P48,1:38.48,0:36.93:11900287:5.95:0,0:36.97:12644366:5.95:0,0:36.6:24554579:5.95:0,0:36.55:23893614:5.95:0,0:37.28:34345742:5.95:0,0:134.06:3619873:5.95:0,U:37.08:13118292:U:U,0:37.74:19869602:5.95:0,0:38.33:24233217:5.95:0
PFE_112219P32,U,26:36.93:11900287:0.18:0,26:36.97:12644366:0.18:0,26:36.6:24554579:0.18:0,26:36.55:23893614:0.18:0,26:37.28:34345742:0.18:0,26:134.06:3619873:0.18:0,26:37.08:13118292:0.18:0,26:37.74:19869602:0.18:0,26:38.33:24233217:0.01:2
