Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_120619C38,50:38.45,50:38.93,50:39.12,50:39.18:1975398:0.73:0,50:39.26:834553:0.73:0,50:39.59:870370:0.73:0,50:39.1:1020665:0.73:0,50:39.34:929455:0.73:0,50:38.69:1013846:0.73:0,50:39.02:1174741:0.73:0,50:75.43:212417:0.73:0,50:38.73:1214584:0.73:0,50:38.94:770105:0.73:0,50:38.76:1014804:0.73:0,[50:38.64:777620:0.73:0
JBL_120619C38.5,22:38.45,22:38.93,22:39.12,22:39.18:1975398:0.5:0,22:39.26:834553:0.5:0,22:39.59:870370:0.5:0,22:39.1:1020665:0.5:0,22:39.34:929455:0.5:0,22:38.69:1013846:0.5:0,22:39.02:1174741:0.5:0,22:75.43:212417:0.5:0,22:38.73:1214584:0.5:0,22:38.94:770105:0.5:0,22:38.76:1014804:0.5:0,[22:38.64:777620:0.5:0
JBL_120619C39,108:38.45,108:38.93,115:39.12,116:39.18:1975398:1.3:1,117:39.26:834553:1.15:1,117:39.59:870370:1.15:0,117:39.1:1020665:1.15:0,117:39.34:929455:0.92:1,116:38.69:1013846:0.92:0,116:39.02:1174741:0.92:0,116:75.43:212417:0.92:0,116:38.73:1214584:0.92:0,116:38.94:770105:0.92:0,116:38.76:1014804:0.92:0,[116:38.64:777620:0.55:2
JBL_120619C39.5,0:38.45,0:38.93,2:39.12,2:39.18:1975398:0.9:0,2:39.26:834553:0.9:0,2:39.59:870370:1.0:2,3:39.1:1020665:1.0:0,3:39.34:929455:1.0:0,3:38.69:1013846:1.0:0,3:39.02:1174741:1.0:0,U:75.43:212417::,3:38.73:1214584:0.45:0,3:38.94:770105:0.6:1,4:38.76:1014804:0.6:0,[4:38.64:777620:0.35:21
JBL_120619C40,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.75:3,3:39.1:1020665:0.75:0,3:39.34:929455:0.75:0,3:38.69:1013846:0.75:0,3:39.02:1174741:0.75:0,3:75.43:212417:0.75:0,3:38.73:1214584:0.25:3,6:38.94:770105:0.4:5,11:38.76:1014804:0.4:0,[11:38.64:777620:0.4:0
JBL_120619C40.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.4:21,21:39.34:929455:0.35:1,20:38.69:1013846:0.35:0,20:39.02:1174741:0.25:3,U:75.43:212417::,23:38.73:1214584:0.25:0,23:38.94:770105:0.25:0,23:38.76:1014804:0.25:0,[23:38.64:777620:0.15:10
JBL_120619C41,0:38.45,0:38.93,4:39.12,4:39.18:1975398:0.4:0,4:39.26:834553:0.4:0,4:39.59:870370:0.4:0,4:39.1:1020665:0.4:0,4:39.34:929455:0.4:0,4:38.69:1013846:0.4:0,4:39.02:1174741:0.4:0,4:75.43:212417:0.1:4,4:38.73:1214584:0.1:0,4:38.94:770105:0.1:0,4:38.76:1014804:0.1:0,[4:38.64:777620:0.1:0
JBL_120619C41.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.3:2,2:39.59:870370:0.25:1,3:39.1:1020665:0.25:0,3:39.34:929455:0.25:0,3:38.69:1013846:0.25:0,3:39.02:1174741:0.25:0,U:75.43:212417::,3:38.73:1214584:0.25:0,3:38.94:770105:0.25:0,3:38.76:1014804:0.05:1,[2:38.64:777620:0.05:0
JBL_120619C42,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C42.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C43,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_121319C33.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,0:38.64:777620:0.0:0
JBL_121319C34,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_121319C34.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_121319C35,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
