Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_120619P26.5,237:27.01:44941622:1.05:19,245:27.14:41300937:0.95:32,250:26.7:32448063:1.01:30,259:26.71:33124982:1.03:24,262:25.99:27991933:1.25:6,262:26.79:41353173:0.94:21,268:26.75:37309667:0.84:30,213:28.03:52741127:0.4:11,224:29.46:55638958:0.12:32,[220:29.56:44372725:0.13:38
UBER_120619P27,631:27.01:44941622:1.25:48,659:27.14:41300937:1.2:246,633:26.7:32448063:1.15:16,637:26.71:33124982:1.55:16,637:25.99:27991933:1.63:21,637:26.79:41353173:1.18:57,638:26.75:37309667:1.1:34,719:28.03:52741127:0.53:2950,3568:29.46:55638958:0.17:718,[3762:29.56:44372725:0.19:295
UBER_120619P27.5,35:27.01:44941622:1.4:62,77:27.14:41300937:1.8:62,91:26.7:32448063:1.48:5,94:26.71:33124982:1.78:100,152:25.99:27991933:1.95:13,151:26.79:41353173:1.9:1,152:26.75:37309667:1.6:17,171:28.03:52741127:0.68:40,165:29.46:55638958:0.3:277,[414:29.56:44372725:0.2:143
UBER_120619P28,231:27.01:44941622:1.75:5,232:27.14:41300937:2.05:11,232:26.7:32448063:1.75:20,232:26.71:33124982:1.89:35,237:25.99:27991933:2.15:10,242:26.79:41353173:1.81:41,212:26.75:37309667:1.81:0,211:28.03:52741127:1.02:217,305:29.46:55638958:0.41:100,[320:29.56:44372725:0.33:4060
UBER_120619P28.5,106:27.01:44941622:2.35:0,106:27.14:41300937:2.11:6,109:26.7:32448063:2.21:52,151:26.71:33124982:2.42:7,151:25.99:27991933:2.75:1,151:26.79:41353173:2.17:5,151:26.75:37309667:2.03:13,149:28.03:52741127:1.1:2,149:29.46:55638958:0.57:244,[326:29.56:44372725:0.52:180
UBER_120619P29,491:27.01:44941622:2.25:136,491:27.14:41300937:2.57:10,492:26.7:32448063:2.6:10,492:26.71:33124982:2.75:7,492:25.99:27991933:2.9:14,495:26.79:41353173:2.6:11,499:26.75:37309667:2.35:15,504:28.03:52741127:1.6:249,688:29.46:55638958:0.8:324,[679:29.56:44372725:0.63:125
UBER_120619P29.5,180:27.01:44941622:2.73:1,180:27.14:41300937:2.73:0,180:26.7:32448063:2.73:0,180:26.71:33124982:2.73:0,180:25.99:27991933:3.45:1,180:26.79:41353173:3.45:0,180:26.75:37309667:3.2:10,190:28.03:52741127:1.77:189,331:29.46:55638958:1.0:530,[321:29.56:44372725:0.9:46
UBER_120619P30,147:27.01:44941622:3.1:6,148:27.14:41300937:3.38:27,136:26.7:32448063:3.31:13,133:26.71:33124982:3.6:2,133:25.99:27991933:4.0:8,133:26.79:41353173:3.4:54,145:26.75:37309667:3.3:4,146:28.03:52741127:2.25:3,147:29.46:55638958:1.28:49,[189:29.56:44372725:1.17:109
UBER_120619P30.5,35:27.01:44941622:3.6:1,35:27.14:41300937:3.6:0,35:26.7:32448063:3.6:4,39:26.71:33124982:3.6:0,39:25.99:27991933:3.6:0,39:26.79:41353173:3.6:0,39:26.75:37309667:3.6:0,39:28.03:52741127:3.6:0,39:29.46:55638958:1.85:10,[44:29.56:44372725:1.55:14
UBER_120619P31,39:27.01:44941622:3.95:7,38:27.14:41300937:4.1:9,47:26.7:32448063:3.6:3,47:26.71:33124982:4.87:6,47:25.99:27991933:4.87:0,47:26.79:41353173:4.33:1,48:26.75:37309667:4.33:0,48:28.03:52741127:3.2:2,48:29.46:55638958:1.91:1,[49:29.56:44372725:1.59:4
